epoch,train_acc,val_acc,train_loss,val_loss,time
0,5.24869469634515,5.448717948717949,4.243157451612907,4.020141655085038,17.58975052833557
1,7.5845012366034625,8.012820512820513,3.7946659828487195,3.586740965745887,35.446478605270386
2,12.530915086562242,12.115384615384615,3.501671964662117,3.420185020991734,53.88112020492554
3,15.608683704314371,14.423076923076922,3.325578053792318,3.3054386985545254,71.37375044822693
4,17.9719703215169,17.115384615384617,3.1978686671507988,3.2263113868479825,89.1439905166626
5,21.214619400934325,19.423076923076923,3.0623389294272974,3.132740239707791,106.60618710517883
6,23.33058532563891,20.705128205128208,2.9524087257552565,3.075077232049436,129.3429000377655
7,23.38554547952734,20.961538461538463,2.829710289051658,3.0299622963885873,154.61106991767883
8,26.10607309700467,22.692307692307693,2.7627549234189486,3.0142392041731854,178.65091466903687
9,29.458642484198954,26.08974358974359,2.6410963869931403,2.8919813243710264,203.2486720085144
10,30.14564440780434,26.474358974358974,2.597283490917139,2.8423685394987768,228.2975208759308
11,33.168452871668045,28.653846153846153,2.52351299817102,2.7770175301298803,254.259122133255
12,33.00357241000275,27.17948717948718,2.4970984354353787,2.800228478957196,280.73732709884644
13,34.59741687276725,29.230769230769234,2.3957635342029104,2.7486491689876633,307.80966687202454
14,36.05386095081066,28.141025641025642,2.3672194658664236,2.8759450717848174,332.65030241012573
15,39.81863149216818,31.025641025641026,2.340039334799114,2.7750486695036596,358.43094754219055
16,40.010992030777686,30.064102564102562,2.231090895962297,2.716328255984248,384.4377875328064
17,39.681231107447104,29.166666666666668,2.219907233589574,2.6866035656053193,409.2055163383484
18,43.693322341302554,31.92307692307692,2.147759605918014,2.6591975421321634,433.86453223228455
19,44.16048364935422,32.243589743589745,2.125987752487785,2.6517811137802747,460.97305393218994
20,44.54520472657323,32.43589743589744,2.060229660126201,2.650375701943222,488.367249250412
21,44.187963726298435,32.30769230769231,2.0388410342367074,2.721864325659616,514.9833660125732
22,44.92992580379225,31.602564102564102,2.0059859344833777,2.6747558360197106,540.5413868427277
23,45.89172849683979,32.756410256410255,1.9570056660133495,2.7453556693330103,562.1686275005341
24,48.11761472932124,32.88461538461539,1.9156594130030848,2.817367582905049,583.7026720046997
25,46.16652926628195,34.294871794871796,1.9019695687712284,2.7506024910479177,605.4021170139313
26,45.479527342676555,30.256410256410255,1.8708987978466771,2.9276432309831892,626.4642131328583
27,49.32673811486672,35.57692307692308,1.8379101418612296,2.7628365292841073,647.0648882389069
28,50.67326188513328,35.128205128205124,1.8162028977745457,2.721254757472447,668.766298532486
29,51.38774388568288,34.03846153846154,1.7636537049946033,2.826722351872191,689.9687762260437
