epoch,train_acc,val_acc,train_loss,val_loss,time
0,1.4564440780434185,1.4102564102564104,1287246.1933459106,4.652525911525804,14.451924085617065
1,1.4564440780434185,1.4743589743589742,4.3640242626792505,4.622596195765904,28.73527979850769
2,1.3465237702665567,1.3461538461538463,4.358000562902083,4.624189668772172,42.75090527534485
3,1.5114042319318495,1.5384615384615385,4.3545907087493365,4.626943383898054,56.77191472053528
4,1.428964001099203,1.4743589743589742,4.357915957768758,4.6339651419191945,70.78639221191406
5,2.0060456169277274,2.051282051282051,4.359846290789153,4.6177350842222875,89.14481854438782
6,1.428964001099203,1.4743589743589742,4.358189306761089,4.623559854468521,105.06254982948303
7,1.4564440780434185,1.4743589743589742,4.361474204481694,4.617461029364138,121.66010522842407
8,1.181643308601264,1.153846153846154,4.360029028173079,4.613744434045286,138.21627163887024
9,1.3740038472107723,1.4102564102564104,4.3566932636394835,4.625091961451939,157.21500754356384
10,1.3465237702665567,1.3461538461538463,4.364641131016246,4.613184685609778,176.9629843235016
11,1.483924154987634,1.4743589743589742,4.3563964115945915,4.629050566225636,198.21952605247498
12,1.5114042319318495,1.5384615384615385,4.362088466945448,4.615713820165517,218.88157272338867
13,1.3190436933223413,1.3461538461538463,24246.655115010446,4.365441079042395,239.25026202201843
14,1.3740038472107723,1.4102564102564104,4.36289580244767,4.329363832668382,259.37677907943726
15,1.3465237702665567,1.3461538461538463,895.9558173857237,4.35655994804538,278.6105697154999
16,1.3740038472107723,1.4102564102564104,4.358855807990358,4.338137655842061,298.70853781700134
17,1.3740038472107723,1.4102564102564104,4.3578486693532845,4.3476856192763975,318.30854964256287
18,2.0060456169277274,2.051282051282051,4.357397020908824,4.340818989033601,338.5224652290344
19,2.0060456169277274,2.051282051282051,4.356715980329011,4.344435283115932,359.00916290283203
20,1.483924154987634,1.4743589743589742,4.35998509223001,4.339978471094248,379.95581698417664
21,1.428964001099203,1.4102564102564104,4.360100148016946,4.351031176897944,400.52697110176086
22,1.3465237702665567,1.3461538461538463,4.3554210244563585,4.349250628023731,420.31460094451904
23,1.291563616378126,1.282051282051282,4.363941656915765,4.336469338864696,440.79495334625244
