epoch,train_acc,val_acc,train_loss,val_loss,time
0,2.912888156086837,2.435897435897436,4.312236296503167,4.291318990746323,13.424352407455444
1,5.166254465512504,4.67948717948718,4.244641458779051,4.189038549150739,26.37998342514038
2,6.677658697444352,7.051282051282051,4.12238165370205,4.0627180848802835,39.54363226890564
3,9.398186314921682,9.423076923076923,3.9745058908797146,3.9199193010524827,52.809526205062866
4,9.865347622973344,8.653846153846153,3.8350962546833776,3.844313845342519,66.43735408782959
5,10.4973893926903,10.576923076923077,3.713227953827172,3.6967833917968127,79.85946583747864
6,13.245397087111844,13.205128205128206,3.607922623032018,3.6100753959344356,94.00619077682495
7,14.427040395713108,12.692307692307692,3.5140705777887713,3.539092701308581,108.49836540222168
8,14.454520472657324,13.397435897435898,3.444188352216754,3.4773000016504403,122.72552061080933
9,16.35064578180819,14.23076923076923,3.3944261764225208,3.425790499667732,137.25008344650269
10,17.312448474855728,16.08974358974359,3.340987862202159,3.3810330848304595,152.61925292015076
11,17.175048090134652,15.128205128205128,3.2981997895659063,3.350713131379108,167.9854724407196
12,19.455894476504536,17.17948717948718,3.256938708455939,3.33048144651919,183.19773077964783
13,19.016213245397086,18.461538461538463,3.222588375995034,3.2826060908181325,199.1637442111969
14,20.25281670788678,19.166666666666668,3.1886866657357467,3.265224116189139,214.45192074775696
15,21.7092607859302,20.128205128205128,3.1550245054981163,3.225001189173484,228.50910902023315
16,20.25281670788678,18.78205128205128,3.128032531654626,3.2184763879192118,242.4168245792389
17,22.203902170926078,20.51282051282051,3.0962505654284826,3.182680553319503,257.2527050971985
18,22.313822478702942,21.08974358974359,3.0703602903767635,3.1626970767974854,287.15561747550964
19,24.292388018686452,21.21794871794872,3.047825945051093,3.130878954517598,336.64471650123596
20,23.44050563341577,21.858974358974358,3.017455086373446,3.1250343955292994,350.90517473220825
21,25.03435009618027,23.397435897435898,2.9939330544388083,3.0905952745554397,365.0178632736206
22,24.292388018686452,22.628205128205128,2.966712863821732,3.095982021215011,378.88211941719055
23,25.63891178895301,23.397435897435898,2.9470095927255198,3.0761356207789206,393.2610399723053
24,25.776312173674086,23.46153846153846,2.9317256714168347,3.054513400914718,407.6233627796173
25,26.380873866446823,22.94871794871795,2.9019255449897363,3.0509304173138676,422.0782308578491
26,27.205276174773292,24.102564102564102,2.888493383139895,3.0193002759193885,435.9576964378357
27,26.628194558944767,24.166666666666668,2.869905053523549,3.0142401335190754,449.6086230278015
28,28.77164056059357,25.705128205128204,2.8455110181841934,2.9885395546348725,463.60080885887146
29,27.974718329211324,25.769230769230766,2.833352440281918,2.9787189279283797,477.76278376579285
30,28.469359714207197,25.256410256410255,2.815263495110629,2.970634256090437,492.1736936569214
31,28.881560868370432,25.8974358974359,2.8017686333572653,2.95586786464769,507.3774845600128
32,30.887606485298157,27.884615384615387,2.7843509912490845,2.9307040535673803,522.3645496368408
33,29.67848309975268,27.24358974358974,2.764131679869535,2.924830266407558,536.3379809856415
