epoch,train_acc,val_acc,train_loss,val_loss,time
0,3.2701291563616377,3.5256410256410255,4.8566662679638775,4.194776257690118,11.605272054672241
1,7.007419620774938,6.346153846153846,4.03919041575047,3.8415716278309726,23.14115834236145
2,10.277548777136577,10.192307692307692,3.7018573158665706,3.57280065088856,34.94616675376892
3,12.366034624896951,12.243589743589743,3.5103885855591086,3.50174727245253,46.86422896385193
4,14.729321242099477,13.333333333333334,3.3762293886720087,3.4554491383688792,58.71463966369629
5,16.29568562791976,15.833333333333332,3.2627513053124413,3.2838323359586754,70.54410743713379
6,17.889530090684254,16.08974358974359,3.217089818235029,3.2603559639989115,81.94746422767639
7,19.071173399285517,16.73076923076923,3.1288251374897205,3.2382194801252715,93.62001752853394
8,18.43913162956856,16.98717948717949,3.0528483662688943,3.2381991853519363,105.42269611358643
9,21.46194009343226,19.230769230769234,3.041260466241,3.092540828549132,116.85731077194214
10,21.901621324539708,20.705128205128208,2.9708982998864695,3.1028015224301084,128.4613561630249
11,21.929101401483926,18.58974358974359,2.934349246192397,3.0953480467504386,140.30654335021973
12,23.82522671063479,21.08974358974359,2.8892339886280527,3.0472709062148113,151.9502067565918
13,23.63286617202528,22.628205128205128,2.867291571801169,3.0108549156967475,163.6446943283081
14,26.71063478977741,23.974358974358974,2.8141892771971855,2.9192182385191625,175.27319169044495
15,25.33663094256664,21.53846153846154,2.784159595506233,3.0044898792188994,187.23508381843567
16,26.243473481725747,22.628205128205128,2.733396007303606,2.9721376263365453,199.4290144443512
17,27.72739763671338,24.102564102564102,2.6928537749407586,2.96702597092609,211.78774619102478
18,31.29980763946139,26.410256410256412,2.653077202930785,2.800791915582151,224.15237712860107
19,29.046441330035723,25.8974358974359,2.62034560400143,2.9064122316788654,236.3670072555542
20,29.266281945589444,26.21794871794872,2.5997488906508996,2.890202050306359,248.54091382026672
21,31.29980763946139,27.94871794871795,2.5519385766564753,2.8020993641444614,261.09917855262756
22,24.319868095630667,21.21794871794872,2.518456985030258,3.271131758787194,272.83930802345276
23,32.97609233305853,27.94871794871795,2.5072029358462284,2.831821470844502,284.7374505996704
24,28.634240175872495,23.653846153846153,2.4716313836867347,3.0404513904026578,296.9905502796173
25,28.96400109920308,24.807692307692307,2.4690627162916616,2.9998847367812176,309.4213435649872
26,23.35806540258313,21.21794871794872,2.419413162950884,3.304624533166691,321.52389430999756
27,30.777686177521296,26.602564102564102,2.4169192941565263,3.1531592923767713,333.5580246448517
