epoch,train_acc,val_acc,train_loss,val_loss,time
0,7.907672579611027,6.153846153846154,4.257875004593207,4.133774953729966,14.485365390777588
1,12.737764479589655,11.346153846153847,4.098889490374091,3.9668418519637165,28.72886061668396
2,15.986321863646078,15.192307692307692,3.953432811360781,3.800227024975945,43.399393796920776
3,18.123530668946355,17.307692307692307,3.810508528534247,3.6361186925102684,56.72504758834839
4,20.538576618935668,18.846153846153847,3.6461028274224727,3.4647020872901466,70.43890738487244
5,22.99636674503099,20.0,3.509869249499574,3.2751160228953644,84.07431077957153
6,26.650993802094465,23.653846153846153,3.3732136885325112,3.167975537917193,99.99959921836853
7,28.724086343235733,25.384615384615383,3.247357970192319,2.9921679777257584,113.60499501228333
8,30.284248771104938,24.615384615384617,3.1249723466886143,2.830521821975708,126.51640963554382
9,33.53280615516136,30.76923076923077,2.996185607650653,2.728686767465928,139.8038363456726
10,35.02885231887156,31.538461538461537,2.8979657296420767,2.6466381970573876,152.7065348625183
11,37.63624706133789,35.0,2.8019631265782987,2.539828833411722,166.2091770172119
12,39.11092113699509,34.61538461538461,2.709176613360035,2.4649597196017994,180.21400117874146
13,43.27847830733062,38.65384615384615,2.6138083772594425,2.361988151774687,193.52031302452087
14,44.45394315024578,38.46153846153847,2.5482318660839884,2.2657017707824707,206.9102427959442
15,46.056849754220984,40.57692307692308,2.437968614150067,2.19690002413357,220.41916227340698
16,49.15580252190639,44.80769230769231,2.365509700612957,2.144631266593933,235.35525226593018
17,49.07031416969438,41.15384615384615,2.3050348174815274,2.1039158666835114,250.6855342388153
18,53.1096388117119,44.61538461538462,2.2292447341542667,2.0399235206491806,265.0993754863739
19,53.430220132506946,45.57692307692307,2.165436565470533,1.9518735198413624,279.2019214630127
20,55.99487069886728,48.07692307692308,2.1045928974540864,1.8865452023113476,293.423291683197
21,58.94421885018166,49.80769230769231,2.035613226241806,1.8334280603072222,307.5948100090027
22,58.79461423381064,50.57692307692307,1.9702910517348724,1.8594793642268461,322.2663326263428
23,63.49647360547126,53.65384615384615,1.931332679021926,1.7160435494254618,336.0019495487213
24,63.77431075016029,52.307692307692314,1.8802888928627481,1.7028696747387158,350.3362069129944
25,65.54819405855952,52.88461538461539,1.8227398095487737,1.678045714602751,367.7627766132355
26,65.56956614661253,52.307692307692314,1.7623405529528249,1.7181998140671675,382.2510311603546
27,69.45928617225903,56.34615384615385,1.7220451385796476,1.5994642061345719,396.56284165382385
28,69.54477452447104,54.807692307692314,1.657828351267341,1.5796030339072733,410.7238829135895
29,72.06668091472537,58.269230769230774,1.651970770083317,1.5358549356460571,426.12907361984253
30,71.63923915366532,56.92307692307692,1.5814052690454081,1.5813150055268232,442.2788727283478
31,70.7416114554392,56.15384615384615,1.5354029783586256,1.584737693562227,457.32645535469055
32,76.64030775806796,57.11538461538461,1.4877376734804946,1.4815664782243616,471.737179517746
33,76.66167984612096,59.23076923076923,1.437050840481609,1.4470338891534245,486.0827226638794
34,76.25561017311391,57.88461538461539,1.410577394929873,1.4641860513126148,500.0356698036194
35,78.84163282752725,60.0,1.3790425885291326,1.375961051267736,513.7276661396027
36,77.32421457576405,55.57692307692308,1.3240434981527782,1.4506877169889563,527.7494215965271
37,76.854028638598,57.692307692307686,1.295980252376219,1.4942341271568746,542.3444700241089
38,80.91472536866851,61.73076923076923,1.283748586161607,1.4090729496058296,557.8271262645721
39,81.72686471468262,60.57692307692307,1.2278463698568798,1.355684056001551,571.8053059577942
40,83.41525967086984,61.346153846153854,1.1856436871346974,1.3679749895544613,585.7607259750366
41,85.44560803590511,61.15384615384616,1.180394185238144,1.3457585678381079,600.3806381225586
42,86.79204958324428,63.84615384615384,1.121520509930695,1.3248280356912052,614.6464793682098
43,85.87304979696516,62.88461538461539,1.0722463195826732,1.3007336609503801,628.8821005821228
44,81.23530668946356,57.88461538461539,1.0743665399194575,1.4169639419106876,645.1196484565735
45,87.30497969651636,62.30769230769231,1.0548741351179525,1.3390827003647299,659.7102363109589
46,86.00128232528319,59.61538461538461,1.0018851010977816,1.3656831418766695,674.9223392009735
47,88.67279333190852,63.84615384615384,0.9605199500006072,1.2714802868225996,689.7809166908264
48,87.11263090403932,58.46153846153847,0.9334973263091781,1.3767799629884607,703.6143152713776
49,90.31844411198973,63.26923076923077,0.896355019134729,1.3256340026855469,718.1053631305695
